{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 0.05286052648054351 -2.762648348919626
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.0568211244039105 -3.057021531521446
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.7340844905680228 -1.9886895368631947
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -0.9938141344810845 -3.48626551246371
Added to tree (3, 0) parent (3, 1)
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.1941900776515979 -2.624423298127674
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -0.8200305495460896 -3.275758399061644
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 0.301796894086209 -2.90690865040429
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 0.7782166947461633 -4.490110405705831
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -0.3910210044597022 -1.8594673387805916
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 0.3362626153284509 -0.9198589202379299
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -0.947990264994246 -4.496794897241288
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.1304857301748257 -3.5965647778901513
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -0.616190946528377 -3.488107430839936
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.3222390467395257 -2.813854206443938
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.36055057077746255 -1.0709412844809147
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.7260174725206809 -1.8949816384441407
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.2634356536401299 -2.25473048904108
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.9790422233202491 -4.842815595140198
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.1354646842881664 -4.663379926832182
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 0.10175199573779992 -5.220272038582827
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 0.6382788251976308 -2.2562443883452197
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} 0.33609760440020864 -3.4935257114286955
Added to tree (3, -1) parent (3, 0)
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -0.07640243983271944 -2.9771552039160554
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -0.7418941030771293 -3.346606295031883
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.40035518221358757 -2.469372191448315
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.07822432051258943 -3.6392501226178666
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.6509839979439676 -2.680120131182669
